MMM,3M Company,Industrials
AOS,A. O. Smith Corporation,Industrials
ABT,Abbott Laboratories,Healthcare
ABBV,AbbVie Inc.,Healthcare
ACN,Accenture plc,Information Technology
ADBE,Adobe Inc.,Information Technology
AMD,Advanced Micro Devices Inc.,Information Technology
AES,AES Corporation,Utilities
AFL,Aflac Incorporated,Financials
A,Agilent Technologies Inc.,Healthcare
APD,Air Products and Chemicals Inc.,Materials
AKAM,Akamai Technologies Inc.,Information Technology
ALB,Albemarle Corporation,Materials
ARE,Alexandria Real Estate Equities Inc.,Real Estate
ALGN,Align Technology Inc.,Healthcare
ALLE,Allegion plc,Industrials
LNT,Alliant Energy Corporation,Utilities
ALL,Allstate Corporation,Financials
GOOGL,Alphabet Inc. Class A,Communication Services
GOOG,Alphabet Inc. Class C,Communication Services
MO,Altria Group Inc.,Consumer Staples
AMZN,Amazon.com Inc.,Consumer Discretionary
AMCR,Amcor plc,Materials
AEE,Ameren Corporation,Utilities
AAL,American Airlines Group Inc.,Industrials
AEP,American Electric Power Company Inc.,Utilities
AXP,American Express Company,Financials
AIG,American International Group Inc.,Financials
AMT,American Tower Corporation,Real Estate
AWK,American Water Works Company Inc.,Utilities
AMP,Ameriprise Financial Inc.,Financials
ABC,AmerisourceBergen Corporation,Healthcare
AME,AMETEK Inc.,Industrials
AMGN,Amgen Inc.,Healthcare
APH,Amphenol Corporation,Information Technology
ADI,Analog Devices Inc.,Information Technology
ANSS,ANSYS Inc.,Information Technology
AON,Aon plc,Financials
APA,APA Corporation,Energy
AAPL,Apple Inc.,Information Technology
AMAT,Applied Materials Inc.,Information Technology
APTV,Aptiv plc,Consumer Discretionary
ACGL,Arch Capital Group Ltd.,Financials
ADM,Archer-Daniels-Midland Company,Consumer Staples
ANET,Arista Networks Inc.,Information Technology
AJG,Arthur J. Gallagher & Co.,Financials
AIZ,Assurant Inc.,Financials
T,AT&T Inc.,Communication Services
ATO,Atmos Energy Corporation,Utilities
ADSK,Autodesk Inc.,Information Technology
AZO,AutoZone Inc.,Consumer Discretionary
AVB,AvalonBay Communities Inc.,Real Estate
AVY,Avery Dennison Corporation,Materials
BKR,Baker Hughes Company,Energy
BALL,Ball Corporation,Materials
BAC,Bank of America Corporation,Financials
BBWI,Bath & Body Works Inc.,Consumer Discretionary
BAX,Baxter International Inc.,Healthcare
BDX,Becton Dickinson and Company,Healthcare
BRK.B,Berkshire Hathaway Inc. Class B,Financials
BBY,Best Buy Co. Inc.,Consumer Discretionary
BIO,Bio-Rad Laboratories Inc.,Healthcare
TECH,Bio-Techne Corporation,Healthcare
BIIB,Biogen Inc.,Healthcare
BLK,BlackRock Inc.,Financials
BX,Blackstone Inc.,Financials
BK,The Bank of New York Mellon Corporation,Financials
BA,The Boeing Company,Industrials
BKNG,Booking Holdings Inc.,Consumer Discretionary
BWA,BorgWarner Inc.,Consumer Discretionary
BXP,Boston Properties Inc.,Real Estate
BSX,Boston Scientific Corporation,Healthcare
BMY,Bristol-Myers Squibb Company,Healthcare
AVGO,Broadcom Inc.,Information Technology
BR,Broadridge Financial Solutions Inc.,Information Technology
BRO,Brown & Brown Inc.,Financials
BF.B,Brown-Forman Corporation Class B,Consumer Staples
CHRW,C.H. Robinson Worldwide Inc.,Industrials
CDNS,Cadence Design Systems Inc.,Information Technology
CZR,Caesars Entertainment Inc.,Consumer Discretionary
CPB,Campbell Soup Company,Consumer Staples
COF,Capital One Financial Corporation,Financials
CAH,Cardinal Health Inc.,Healthcare
KMX,CarMax Inc.,Consumer Discretionary
CCL,Carnival Corporation,Consumer Discretionary
CARR,Carrier Global Corporation,Industrials
CTLT,Catalent Inc.,Healthcare
CAT,Caterpillar Inc.,Industrials
CBOE,Cboe Global Markets Inc.,Financials
CBRE,CBRE Group Inc.,Real Estate
CDW,CDW Corporation,Information Technology
CE,Celanese Corporation,Materials
CNC,Centene Corporation,Healthcare
CNP,CenterPoint Energy Inc.,Utilities
CDAY,Ceridian HCM Holding Inc.,Information Technology
CF,CF Industries Holdings Inc.,Materials
